Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Scheme,FeatureSet,FeatureCount,ThresholdMode,Margin
XGB_linear03,test_selective,0.5,0.5399159663865546,0.5229202037351443,0.1978021978021978,0.43763453041803557,0.6,0.11842105263157894,0.5336426914153132,0.9274193548387096,0.5903013582342954,0.07827027168666276,0.8392067070031067,0.3038541894033961,27,18,230,201,0.09453781512605042,0.4789915966386555,0.5666666666666667,476,weight_decay,XGB,linear_03,all,27,selective_fixed_0.5,0.15
XGB_linear03,test_selective,0.5,0.5606060606060606,0.5212962962962963,0.1553398058252427,0.42920573909009574,0.6153846153846154,0.08888888888888889,0.5567567567567567,0.9537037037037037,0.5740997942386832,0.08562679097074309,0.8455892157962386,0.3038344353012187,16,10,206,164,0.06565656565656566,0.45454545454545453,0.4714285714285714,396,weight_decay,XGB,linear_03,all,27,selective_fixed_0.5,0.2
LGBM_exp100,val,0.58,0.5769230769230769,0.5749289772727273,0.6283783783783784,0.5686534749034748,0.5670731707317073,0.7045454545454546,0.59375,0.4453125,0.5419034090909091,0.15524378058192242,0.8640846808397445,0.29927836805976277,93,71,57,39,0.6307692307692307,0.5076923076923077,1.0,260,weight_decay,LGBM,exp_hl100,all,27,val_f1_macro,
LGBM_exp100,test,0.58,0.5202380952380953,0.5197113313227057,0.4590604026845638,0.5140221799519076,0.5229357798165137,0.4090909090909091,0.5185185185185185,0.6303317535545023,0.5233792149481847,0.040425719764330965,0.811267707129086,0.29045690177064115,171,156,266,247,0.3892857142857143,0.4976190476190476,1.0,840,weight_decay,LGBM,exp_hl100,all,27,val_f1_macro,
LGBM_exp100_th05,test,0.5,0.5345238095238095,0.5346776570897299,0.5479768786127167,0.5341111386928614,0.5302013422818792,0.5669856459330144,0.539440203562341,0.5023696682464455,0.5233792149481847,0.06949828265481922,0.811267707129086,0.29045690177064115,237,210,212,181,0.5321428571428571,0.4976190476190476,1.0,840,weight_decay,LGBM,exp_hl100,all,27,fixed_0.5,
LGBM_exp100,test_selective,0.5,0.5342639593908629,0.5339953745160313,0.5518925518925519,0.5335420487335943,0.5355450236966824,0.5692695214105793,0.5327868852459017,0.49872122762148335,0.5211335656812282,0.06816111554102529,0.8190910640658026,0.293140939844427,226,196,195,171,0.5355329949238579,0.5038071065989848,0.9380952380952381,788,weight_decay,LGBM,exp_hl100,all,27,selective_fixed_0.5,0.02
LGBM_exp100,test_selective,0.5,0.5332428765264586,0.5328086792564004,0.5520833333333334,0.5324156043437205,0.5367088607594936,0.5683646112600537,0.5292397660818714,0.49725274725274726,0.5189066965206376,0.06578278415266998,0.8281840831435371,0.29631482023505284,212,183,181,161,0.5359565807327001,0.5061058344640434,0.8773809523809524,737,weight_decay,LGBM,exp_hl100,all,27,selective_fixed_0.5,0.04
LGBM_exp100,test_selective,0.5,0.5180375180375181,0.5179160419790105,0.5322128851540616,0.5175945378151261,0.5191256830601093,0.5459770114942529,0.5168195718654435,0.48985507246376814,0.518615692153923,0.03588862483273596,0.8398948961850883,0.3008188211921459,190,176,169,158,0.5281385281385281,0.5021645021645021,0.825,693,weight_decay,LGBM,exp_hl100,all,27,selective_fixed_0.5,0.06
LGBM_exp100,test_selective,0.5,0.5245641838351822,0.5245931283905967,0.5327102803738317,0.5244196563159481,0.5229357798165137,0.5428571428571428,0.5263157894736842,0.5063291139240507,0.5183242917420132,0.049218902202146086,0.8519814434109192,0.3046556492504357,171,156,160,144,0.5182250396196514,0.49920760697305866,0.7511904761904762,631,weight_decay,LGBM,exp_hl100,all,27,selective_fixed_0.5,0.08
LGBM_exp100,test_selective,0.5,0.5249110320284698,0.5243055555555556,0.5420240137221269,0.5242467573231706,0.535593220338983,0.5486111111111112,0.5131086142322098,0.5,0.5153588807785888,0.048656451696103005,0.8704650789655405,0.3108678905614941,158,137,137,130,0.5249110320284698,0.5124555160142349,0.669047619047619,562,weight_decay,LGBM,exp_hl100,all,27,selective_fixed_0.5,0.1
LGBM_exp100,test_selective,0.5,0.5192307692307693,0.5181828950485667,0.5421245421245421,0.5180258338153074,0.5323741007194245,0.5522388059701493,0.5041322314049587,0.48412698412698413,0.5140665719023928,0.03643599334794585,0.8861409336015363,0.3164598904182,148,130,122,120,0.5346153846153846,0.5153846153846153,0.6190476190476191,520,weight_decay,LGBM,exp_hl100,all,27,selective_fixed_0.5,0.12
LGBM_exp100,test_selective,0.5,0.5193965517241379,0.518461366847624,0.5420944558521561,0.5182127608058966,0.5301204819277109,0.5546218487394958,0.5069767441860465,0.4823008849557522,0.5133487023127836,0.037009877068569993,0.9059838215804374,0.32282940330322285,132,117,109,106,0.5366379310344828,0.5129310344827587,0.5523809523809524,464,weight_decay,LGBM,exp_hl100,all,27,selective_fixed_0.5,0.15
LGBM_exp100,test_selective,0.5,0.5260115606936416,0.5253568682512619,0.5444444444444444,0.5252342704149933,0.5355191256830601,0.5536723163841808,0.5153374233128835,0.4970414201183432,0.5116170226991609,0.05078509254897525,0.9546357049975394,0.3365170123878684,98,85,84,79,0.5289017341040463,0.5115606936416185,0.4119047619047619,346,weight_decay,LGBM,exp_hl100,all,27,selective_fixed_0.5,0.2
LGBM_step50_3,val,0.46749999999999997,0.573076923076923,0.5705492424242424,0.6360655737704918,0.559893252001525,0.5606936416184971,0.7348484848484849,0.5977011494252874,0.40625,0.5547466856060606,0.149496705730161,0.7572804166646233,0.2725344205980739,97,76,52,35,0.6653846153846154,0.5076923076923077,1.0,260,weight_decay,LGBM,step_50pct_3x,all,27,val_f1_macro,
LGBM_step50_3,test,0.46749999999999997,0.5285714285714286,0.5275289689108597,0.3944954128440367,0.5042652502816675,0.5466101694915254,0.30861244019138756,0.5215231788079471,0.7464454976303317,0.5580058504727998,0.06124770733878861,0.8060497827441313,0.2905123968430052,129,107,315,289,0.28095238095238095,0.4976190476190476,1.0,840,weight_decay,LGBM,step_50pct_3x,all,27,val_f1_macro,
LGBM_step50_3_th05,test,0.5,0.5190476190476191,0.5177781809111318,0.34201954397394135,0.4815163385910982,0.5357142857142857,0.2511961722488038,0.5139751552795031,0.7843601895734598,0.5580058504727998,0.042033031567104105,0.8060497827441313,0.2905123968430052,105,91,331,313,0.23333333333333334,0.4976190476190476,1.0,840,weight_decay,LGBM,step_50pct_3x,all,27,fixed_0.5,
