Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Scheme,FeatureSet,FeatureCount,ThresholdMode,Margin,ModelConfig
LGBM_step50_3,test_selective,0.5,0.5325131810193322,0.5147415735902325,0.2222222222222222,0.4440256839754327,0.5352112676056338,0.1402214022140221,0.5321285140562249,0.889261744966443,0.5629039847445454,0.0445577007243076,0.8558808933969322,0.3078628037287249,38,33,265,233,0.1247803163444639,0.4762741652021089,0.6773809523809524,569,weight_decay,LGBM,step_50pct_3x,all,27.0,selective_fixed_0.5,0.12,LGBM_step50_3
ENS_FINAL3,test_selective,0.5,0.5309734513274337,0.5258228840125392,0.4078212290502793,0.5097714203859456,0.5289855072463768,0.3318181818181818,0.5318471337579618,0.7198275862068966,0.5102664576802508,0.0560513020871321,0.7902410399536359,0.2894746512817476,73,65,167,147,0.3053097345132743,0.4867256637168141,0.5380952380952381,452,ensemble,average_proba_ensemble,"LGBM_exp100,GBM_exp100,XGB_linear03",from_members,,selective_fixed_0.5,0.12,ENS_FINAL3
GBM_exp250,test_selective,0.5,0.5309168443496801,0.5047976561069402,0.271523178807947,0.4628056145612061,0.4712643678160919,0.1906976744186046,0.5445026178010471,0.8188976377952756,0.5094671305621682,0.0122999654336184,0.8265385685733931,0.3010300856463259,41,46,208,174,0.185501066098081,0.4584221748400853,0.5583333333333333,469,weight_decay,GBM,exp_hl250,all,27.0,selective_fixed_0.5,0.15,GBM_exp250
ENS_TOP5_VAL,test_selective,0.5,0.5306603773584906,0.5071838118822926,0.0995475113122171,0.3910815706481341,0.55,0.0547263681592039,0.5297029702970297,0.9596412556053812,0.5384289315753072,0.0338399510955265,0.7620811479084428,0.2797944629468381,11,9,214,190,0.0471698113207547,0.4740566037735849,0.5047619047619047,424,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM,FS_LGBM_small,BASE_SVM_RBF",from_members,,selective_fixed_0.5,0.12,ENS_TOP5_VAL
ENS_TOP3_VAL,test_selective,0.5,0.5300896286811779,0.5289367032159907,0.326605504587156,0.482870107259163,0.5705128205128205,0.2287917737789203,0.52,0.8290816326530612,0.5447969676302398,0.0723759991215558,0.7739353689008354,0.2818719674331559,89,67,325,300,0.1997439180537772,0.4980793854033291,0.9297619047619048,781,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM",from_members,,selective_fixed_0.5,0.02,ENS_TOP3_VAL
ENS_XGB_LGBM_STEP,test_selective,0.5,0.5300546448087432,0.5267731820218008,0.3228346456692913,0.4815010048430138,0.5616438356164384,0.2265193370165746,0.5221843003412969,0.827027027027027,0.5581454382559355,0.0669977005955385,0.8175077083664543,0.2949565934045208,82,64,306,280,0.1994535519125683,0.494535519125683,0.8714285714285714,732,ensemble,average_proba_ensemble,"XGB_step50_3,LGBM_step50_3",from_members,,selective_fixed_0.5,0.04,ENS_XGB_LGBM_STEP
ENS_TOP5_VAL,test_selective,0.5,0.5297619047619048,0.5266948364293497,0.2785388127853881,0.464876470410354,0.580952380952381,0.1831831831831832,0.5202821869488536,0.8702064896755162,0.5457138554483687,0.0735178921232015,0.7396401065162257,0.2702539131852376,61,44,295,272,0.15625,0.4955357142857143,0.8,672,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM,FS_LGBM_small,BASE_SVM_RBF",from_members,,selective_fixed_0.5,0.04,ENS_TOP5_VAL
ENS_TOP5_VAL,test_selective,0.5,0.5297029702970297,0.5297029702970297,0.2519685039370078,0.4545041075641718,0.6153846153846154,0.1584158415841584,0.5170454545454546,0.900990099009901,0.5573527649794683,0.0886968593983623,0.7446409255110105,0.2724296238025481,48,30,273,255,0.1287128712871287,0.5,0.7214285714285714,606,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM,FS_LGBM_small,BASE_SVM_RBF",from_members,,selective_fixed_0.5,0.06,ENS_TOP5_VAL
XGB_step50_3,test_selective,0.5,0.5292929292929293,0.5049880418045408,0.1527272727272727,0.4134265734265734,0.5,0.0901287553648068,0.5320088300220751,0.9198473282442748,0.5403957671264292,0.017869604487204,0.8850310946721945,0.3177707537740697,21,21,241,212,0.0848484848484848,0.4707070707070707,0.5892857142857143,495,weight_decay,XGB,step_50pct_3x,all,27.0,selective_fixed_0.5,0.15,XGB_step50_3
XGB_linear03,test_selective,0.5,0.5287539936102237,0.5242871581268568,0.2679900744416873,0.4602612327449897,0.574468085106383,0.174757281553398,0.5206766917293233,0.8738170347003155,0.5804926852674241,0.0679822953415563,0.8107813958067469,0.2941501912963759,54,40,277,255,0.1501597444089457,0.4936102236421725,0.7452380952380953,626,weight_decay,XGB,linear_03,all,27.0,selective_fixed_0.5,0.08,XGB_linear03
